City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,78,1,9.17,clear sky
1,Jamestown,US,42.097,-79.2353,35.71,71,90,8.01,light snow
2,Ushuaia,AR,-54.8,-68.3,51.46,62,20,12.66,few clouds
3,Okhotsk,RU,59.3833,143.3,4.87,82,100,9.91,overcast clouds
4,East London,ZA,-33.0153,27.9116,67.73,81,0,3.11,clear sky
5,Ostrovnoy,RU,68.0531,39.5131,11.41,91,99,13.58,overcast clouds
6,Puerto Escondido,MX,15.85,-97.0667,79.81,78,86,5.53,overcast clouds
7,Mahebourg,MU,-20.4081,57.7,74.25,94,40,5.75,scattered clouds
8,Krasnyy Yar,RU,46.5331,48.3456,35.53,95,100,15.86,light rain
9,Hithadhoo,MV,-0.6,73.0833,81.52,77,79,11.83,broken clouds
10,Iqaluit,CA,63.7506,-68.5145,-5.89,99,88,14.2,overcast clouds
11,Mataura,NZ,-46.1927,168.8643,62.47,36,51,6.24,broken clouds
12,Busselton,AU,-33.65,115.3333,74.08,61,97,11.97,overcast clouds
13,Hobart,AU,-42.8794,147.3294,61.11,77,75,1.99,broken clouds
14,Barrow,US,71.2906,-156.7887,3.22,85,90,11.5,mist
15,Pacific Grove,US,36.6177,-121.9166,53.71,79,75,3.0,broken clouds
16,Port Lincoln,AU,-34.7333,135.8667,63.21,54,54,12.19,broken clouds
17,Pangody,RU,65.85,74.4859,0.61,99,100,7.36,overcast clouds
18,Port Alfred,ZA,-33.5906,26.891,69.46,95,26,7.09,scattered clouds
19,Rikitea,PF,-23.1203,-134.9692,76.1,73,64,19.42,broken clouds
20,Vaini,TO,-21.2,-175.2,84.36,79,20,10.36,few clouds
21,Saskylakh,RU,71.9167,114.0833,-12.78,99,100,5.64,overcast clouds
22,Iskateley,RU,67.6803,53.1512,4.12,97,90,8.12,overcast clouds
23,Taltal,CL,-25.4,-70.4833,60.69,84,60,2.3,broken clouds
24,Ndele,CF,8.4109,20.6473,70.74,28,0,5.73,clear sky
25,Baryatino,RU,54.3121,34.521,17.98,90,99,11.18,overcast clouds
26,Atar,MR,20.5169,-13.0499,63.43,14,98,10.2,overcast clouds
27,Galveston,US,29.3669,-94.9669,76.17,93,75,5.01,broken clouds
28,Bethel,US,41.3712,-73.414,34.05,72,75,3.44,broken clouds
29,Qaanaaq,GL,77.484,-69.3632,-1.28,79,28,8.12,scattered clouds
30,San Patricio,US,28.017,-97.5169,75.88,89,17,12.55,few clouds
31,Albany,US,42.6001,-73.9662,29.68,76,99,3.29,overcast clouds
32,Cape Town,ZA,-33.9258,18.4232,64.11,83,5,1.99,clear sky
33,Narsaq,GL,60.9167,-46.05,26.82,82,75,5.97,broken clouds
34,Panguna,PG,-6.3164,155.4848,81.19,67,100,2.57,light rain
35,Qunduz,AF,36.729,68.857,43.5,21,0,3.49,clear sky
36,Ribeira Grande,PT,38.5167,-28.7,63.48,63,98,10.92,overcast clouds
37,College,US,64.8569,-147.8028,12.58,87,75,3.44,broken clouds
38,Marsa Matruh,EG,31.3525,27.2453,58.53,66,100,10.11,overcast clouds
39,Sobolevo,RU,54.4299,31.8996,23.63,93,100,12.12,overcast clouds
40,Dikson,RU,73.5069,80.5464,-26.59,98,29,5.7,scattered clouds
41,Lagoa,PT,39.05,-27.9833,62.4,62,100,6.98,overcast clouds
42,Kamina,CD,-8.7386,24.9906,63.84,95,94,3.11,overcast clouds
43,Jiuquan,CN,39.7432,98.5174,28.22,48,100,6.64,overcast clouds
44,Avarua,CK,-21.2078,-159.775,80.65,74,40,6.91,scattered clouds
45,Talnakh,RU,69.4865,88.3972,-26.64,100,70,5.44,broken clouds
46,Upernavik,GL,72.7868,-56.1549,0.72,99,100,8.95,overcast clouds
47,Ancud,CL,-41.8697,-73.8203,60.42,89,0,3.47,clear sky
48,Tasiilaq,GL,65.6145,-37.6368,26.76,61,100,8.25,overcast clouds
49,At-Bashi,KG,41.1702,75.8106,5.04,69,6,1.5,clear sky
50,Waddan,LY,29.1614,16.139,49.08,30,0,9.46,clear sky
51,Hilo,US,19.7297,-155.09,78.53,38,90,6.91,overcast clouds
52,Tarabuco,BO,-19.1667,-64.9167,49.5,83,98,4.5,overcast clouds
53,Butaritari,KI,3.0707,172.7902,82.26,77,100,8.43,overcast clouds
54,Pisco,PE,-13.7,-76.2167,66.25,77,0,12.66,clear sky
55,Bluff,NZ,-46.6,168.3333,62.8,60,35,10.74,scattered clouds
56,Chokurdakh,RU,70.6333,147.9167,-47.65,100,72,3.62,broken clouds
57,High Level,CA,58.5169,-117.136,-1.05,99,37,4.34,scattered clouds
58,Mar Del Plata,AR,-38.0023,-57.5575,68.09,90,100,1.99,overcast clouds
59,Punta Arenas,CL,-53.15,-70.9167,50.11,62,0,4.61,clear sky
60,Northam,GB,51.0333,-4.2167,46.62,71,56,31.25,light rain
61,Kapaa,US,22.0752,-159.319,80.58,84,20,4.0,few clouds
62,Srednekolymsk,RU,67.45,153.6833,-44.66,100,95,4.47,overcast clouds
63,Krasnoselkup,RU,65.7,82.4667,-21.82,100,10,4.97,clear sky
64,Pitimbu,BR,-7.4706,-34.8086,81.19,80,55,11.03,broken clouds
65,Nouadhibou,MR,20.931,-17.0347,65.55,70,100,18.61,overcast clouds
66,Zyryanka,RU,65.75,150.85,-43.67,96,79,5.82,broken clouds
67,Araouane,ML,18.9048,-3.5265,65.37,16,81,11.27,broken clouds
68,Zhigansk,RU,66.7697,123.3711,-9.24,97,100,20.92,light snow
69,Aklavik,CA,68.2191,-135.0107,-13.18,99,42,7.52,scattered clouds
70,Gamba,GA,-2.65,10.0,77.11,90,100,4.29,overcast clouds
71,Port-Gentil,GA,-0.7193,8.7815,80.17,82,100,8.63,light rain
72,Puerto Ayora,EC,-0.7393,-90.3518,70.3,87,96,5.57,overcast clouds
73,Kahului,US,20.8947,-156.47,80.62,74,40,24.16,scattered clouds
74,Tuktoyaktuk,CA,69.4541,-133.0374,-7.4,97,13,7.76,few clouds
75,Mazagao,BR,-0.115,-51.2894,80.65,96,87,3.44,overcast clouds
76,Ukiah,US,39.1502,-123.2078,48.99,62,1,3.44,clear sky
77,Georgetown,MY,5.4112,100.3354,84.88,72,20,1.01,few clouds
78,Melfort,CA,52.8667,-104.6177,11.16,91,19,9.86,few clouds
79,Kavaratti,IN,10.5669,72.642,82.42,71,83,10.31,broken clouds
80,Puerto Wilches,CO,7.3483,-73.896,77.07,88,86,1.23,overcast clouds
81,Buchanan,LR,5.8808,-10.0467,76.96,86,8,4.65,light rain
82,Fort Nelson,CA,58.8053,-122.7002,1.27,98,97,1.74,overcast clouds
83,Jaguaribe,BR,-5.8906,-38.6219,81.7,64,100,9.22,overcast clouds
84,Saint-Philippe,RE,-21.3585,55.7679,74.79,76,41,8.97,scattered clouds
85,Buala,SB,-8.145,159.5921,84.61,78,94,7.47,light rain
86,Luderitz,NA,-26.6481,15.1594,59.97,83,0,8.28,clear sky
87,Berlevag,NO,70.8578,29.0864,20.91,78,7,20.92,clear sky
88,Angoche,MZ,-16.2325,39.9086,74.61,84,1,4.85,clear sky
89,Ylivieska,FI,64.0833,24.55,19.31,84,100,9.22,overcast clouds
90,Champerico,GT,14.3,-91.9167,81.28,78,0,7.9,clear sky
91,Megion,RU,61.0296,76.1136,5.02,100,100,4.63,overcast clouds
92,Kamen-Rybolov,RU,44.7481,132.0403,33.44,95,100,4.68,overcast clouds
93,Komsomolskiy,UZ,40.4272,71.7189,30.92,59,0,6.91,clear sky
94,Biltine,TD,14.5333,20.9167,68.94,12,0,8.93,clear sky
95,Leningradskiy,RU,69.3833,178.4167,-12.19,92,100,21.56,overcast clouds
96,Yei,SS,4.095,30.6779,70.39,73,37,0.83,light rain
97,Bredasdorp,ZA,-34.5322,20.0403,64.27,91,99,9.24,overcast clouds
98,Tupiza,BO,-21.45,-65.7167,58.66,72,100,6.44,overcast clouds
99,Cravo Norte,CO,6.3017,-70.2041,81.14,64,72,7.56,broken clouds
100,Kurilsk,RU,45.2333,147.8833,40.08,65,2,7.09,clear sky
